ra,dec,z,cap
153.0580,-3.4171,0.04050,NGP
153.0642,-4.0025,0.16110,NGP
153.0406,-3.7224,0.05790,NGP
153.0170,-3.5504,0.07640,NGP
152.9765,-4.1823,0.11950,NGP
152.8973,-3.0852,0.06140,NGP
152.7702,-2.7684,0.06910,NGP
152.6249,-3.4896,0.07590,NGP
152.6236,-3.6908,0.05930,NGP
152.4900,-3.4639,0.05930,NGP
152.4826,-3.0016,0.06780,NGP
152.4876,-4.4718,0.12120,NGP
152.3780,-3.7954,0.04000,NGP
152.3100,-3.3660,0.16310,NGP
152.3140,-3.9916,0.11840,NGP
152.2893,-2.8525,0.04160,NGP
152.2284,-3.3482,0.09660,NGP
152.2245,-3.5080,0.08730,NGP
152.0643,-4.2317,0.12630,NGP
152.0318,-3.7687,0.12700,NGP
151.9935,-4.4234,0.12800,NGP
151.8798,-3.3334,0.16270,NGP
151.7401,-3.8484,0.05980,NGP
151.6636,-3.4475,0.09630,NGP
151.6151,-4.2016,0.02580,NGP
151.5425,-3.0069,0.19610,NGP
151.4719,-2.9583,0.09380,NGP
151.4158,-3.5454,0.06000,NGP
151.3173,-3.1516,0.19260,NGP
151.3234,-4.3151,0.12980,NGP
151.1213,-3.6231,0.16150,NGP
150.9917,-3.3349,0.09660,NGP
150.9922,-3.9488,0.06250,NGP
150.9750,-4.4671,0.06310,NGP
150.9646,-4.1209,0.06260,NGP
150.9368,-3.9011,0.08910,NGP
150.9049,-2.8099,0.13940,NGP
150.8969,-4.1925,0.06260,NGP
150.8644,-4.0166,0.16320,NGP
150.8752,-4.3700,0.06290,NGP
150.8151,-4.1964,0.12820,NGP
150.7230,-4.1159,0.12790,NGP
150.6518,-3.6131,0.14370,NGP
150.6263,-3.0360,0.01250,NGP
150.6325,-3.5820,0.16210,NGP
150.6173,-3.2688,0.07370,NGP
150.5924,-3.6500,0.15140,NGP
150.5732,-3.3775,0.14490,NGP
150.5576,-3.1422,0.09420,NGP
150.5653,-3.4499,0.15370,NGP
150.5334,-3.6080,0.06290,NGP
150.4999,-3.3009,0.13850,NGP
150.4999,-3.6493,0.13520,NGP
150.4286,-3.7033,0.14800,NGP
150.3568,-3.0798,0.07900,NGP
150.2851,-3.2193,0.14290,NGP
150.2467,-3.4517,0.16270,NGP
150.2572,-4.1253,0.06460,NGP
150.2232,-2.9721,0.02050,NGP
150.1764,-2.9135,0.07450,NGP
150.1297,-3.7888,0.14690,NGP
149.9841,-3.9804,0.05050,NGP
149.9575,-2.9268,0.02110,NGP
149.9696,-3.0424,0.09230,NGP
149.9087,-2.9527,0.02100,NGP
149.8624,-4.1081,0.14410,NGP
149.7778,-4.0861,0.08080,NGP
149.7168,-2.7489,0.09810,NGP
149.6911,-3.9123,0.09260,NGP
149.6970,-4.2106,0.16430,NGP
149.6176,-3.3596,0.08730,NGP
149.6071,-3.0496,0.04850,NGP
149.5942,-2.7544,0.09960,NGP
149.5869,-3.2282,0.08300,NGP
149.5694,-3.5619,0.01980,NGP
149.4225,-4.4450,0.05740,NGP
149.4139,-2.9208,0.04860,NGP
149.3937,-3.5080,0.04850,NGP
149.3362,-3.0676,0.04940,NGP
149.3114,-4.0651,0.08670,NGP
149.2946,-3.6371,0.15290,NGP
149.1710,-4.4859,0.08740,NGP
149.0975,-4.1134,0.13740,NGP
149.0935,-4.4626,0.12960,NGP
149.0208,-3.5236,0.15350,NGP
148.9911,-2.9011,0.09100,NGP
148.9729,-3.4004,0.04890,NGP
148.9562,-2.9858,0.18530,NGP
148.9467,-3.4928,0.15360,NGP
148.9439,-2.8655,0.16340,NGP
148.9318,-4.2413,0.05710,NGP
148.8405,-3.5020,0.14030,NGP
148.8230,-3.0931,0.16080,NGP
148.7363,-3.9011,0.18850,NGP
148.6276,-3.2464,0.06390,NGP
148.6202,-4.0827,0.05690,NGP
148.5065,-4.3429,0.10720,NGP
148.4577,-4.3902,0.12670,NGP
148.3723,-3.2366,0.05820,NGP
148.3242,-4.3414,0.19930,NGP
148.2650,-3.4003,0.12870,NGP
148.2615,-3.9994,0.06530,NGP
153.0790,-5.6915,0.06520,NGP
153.0682,-5.9014,0.05450,NGP
152.9381,-5.1819,0.16210,NGP
152.8826,-6.0373,0.18420,NGP
152.7859,-5.5687,0.08600,NGP
152.7447,-6.0660,0.09140,NGP
152.6048,-6.0703,0.05910,NGP
152.2360,-6.3073,0.12160,NGP
152.2289,-6.2286,0.12110,NGP
152.1687,-4.5160,0.15600,NGP
152.0053,-5.9913,0.01620,NGP
151.9825,-5.2585,0.05490,NGP
151.9711,-4.6578,0.05820,NGP
151.9796,-5.8249,0.08470,NGP
151.9173,-4.7323,0.15920,NGP
151.9120,-5.5878,0.05310,NGP
151.8881,-6.1354,0.06510,NGP
151.8760,-6.1873,0.11880,NGP
151.8085,-5.8102,0.05500,NGP
151.7881,-5.3110,0.05590,NGP
151.7950,-5.4232,0.06020,NGP
151.7602,-4.5970,0.17590,NGP
151.7338,-5.5457,0.12330,NGP
151.7258,-5.7065,0.12430,NGP
151.7210,-5.9030,0.09520,NGP
151.6477,-5.7477,0.05610,NGP
151.6296,-6.2794,0.06170,NGP
151.6167,-5.1211,0.12240,NGP
151.5294,-5.8309,0.03610,NGP
151.5242,-4.9128,0.12680,NGP
151.5025,-6.0672,0.06300,NGP
151.4059,-5.3472,0.06140,NGP
151.3802,-5.3809,0.12430,NGP
151.3744,-5.8159,0.09660,NGP
151.2988,-5.1790,0.12680,NGP
151.2933,-6.2168,0.14820,NGP
151.2726,-4.6439,0.05750,NGP
151.2416,-6.0829,0.08600,NGP
151.2023,-4.8836,0.08550,NGP
151.1564,-6.1707,0.08580,NGP
151.0801,-5.8101,0.08290,NGP
150.9545,-5.6037,0.06880,NGP
150.8651,-5.7442,0.08240,NGP
150.7480,-5.3164,0.06240,NGP
150.7077,-5.8535,0.08280,NGP
150.6585,-5.3343,0.12380,NGP
150.6331,-5.3331,0.15460,NGP
150.4852,-5.9041,0.16030,NGP
150.3882,-5.3192,0.15640,NGP
150.3324,-5.4845,0.05290,NGP
150.2851,-5.9148,0.12660,NGP
150.2137,-4.9675,0.05040,NGP
150.1600,-5.4660,0.05320,NGP
150.1302,-5.4535,0.03430,NGP
150.0379,-5.6450,0.04310,NGP
150.0082,-5.2057,0.09580,NGP
150.0062,-5.3917,0.05240,NGP
150.0011,-4.7994,0.16220,NGP
149.9588,-4.6438,0.05670,NGP
149.9518,-4.8537,0.12040,NGP
149.8649,-4.5627,0.12050,NGP
149.8756,-4.6318,0.05600,NGP
149.8495,-5.3989,0.05250,NGP
149.8060,-4.6733,0.05690,NGP
149.7905,-5.0508,0.15770,NGP
149.7957,-5.0897,0.01730,NGP
149.7453,-4.7070,0.09570,NGP
149.7403,-5.7533,0.01490,NGP
149.7211,-4.6265,0.05620,NGP
149.6262,-5.2987,0.05230,NGP
149.5906,-4.6605,0.15780,NGP
149.5927,-6.0355,0.03490,NGP
149.5607,-4.6216,0.15770,NGP
149.3451,-5.5981,0.09620,NGP
149.1837,-6.1084,0.14800,NGP
149.1803,-4.8925,0.14420,NGP
149.1606,-5.0736,0.14380,NGP
149.0262,-5.0902,0.14380,NGP
149.0131,-4.5874,0.14500,NGP
149.0049,-5.1670,0.09590,NGP
148.9552,-4.9559,0.15760,NGP
148.9412,-6.0348,0.08740,NGP
148.9351,-6.2320,0.13640,NGP
148.8672,-5.9746,0.06580,NGP
148.8229,-6.3617,0.01630,NGP
148.5770,-4.6276,0.06830,NGP
148.4475,-5.3369,0.06860,NGP
148.4373,-4.6311,0.12930,NGP
148.4202,-5.0693,0.05610,NGP
148.4132,-5.0978,0.05690,NGP
148.3479,-5.9842,0.15510,NGP
148.3532,-4.5963,0.06490,NGP
148.3285,-5.4723,0.05590,NGP
148.3102,-4.8229,0.15150,NGP
148.2458,-5.4579,0.02040,NGP
148.1880,-6.0753,0.13280,NGP
151.8945,-6.5233,0.01580,NGP
151.7742,-6.3973,0.06150,NGP
151.6933,-6.3987,0.06270,NGP
151.5264,-6.4802,0.05490,NGP
158.0655,-2.7602,0.03800,NGP
157.9766,-3.1303,0.09730,NGP
157.9423,-3.2882,0.03880,NGP
157.9044,-6.0649,0.14080,NGP
157.8445,-3.2203,0.11950,NGP
157.8326,-3.5735,0.06060,NGP
157.7925,-5.7426,0.06280,NGP
157.7762,-3.4234,0.03850,NGP
157.7497,-4.6187,0.05360,NGP
157.6552,-3.4611,0.13630,NGP
157.6380,-4.8954,0.15070,NGP
157.6247,-3.4232,0.03810,NGP
157.5982,-3.1863,0.09960,NGP
157.5704,-5.7893,0.08850,NGP
157.5212,-6.2791,0.14240,NGP
157.4962,-5.5717,0.19190,NGP
157.4737,-3.4480,0.06030,NGP
157.4709,-4.4201,0.19910,NGP
157.4599,-4.8394,0.05410,NGP
157.4535,-3.7962,0.09770,NGP
157.3975,-3.3708,0.06170,NGP
157.3762,-3.8283,0.02960,NGP
157.3407,-5.2255,0.15790,NGP
157.3010,-5.5560,0.06060,NGP
157.2715,-3.1915,0.09530,NGP
157.2404,-5.4156,0.14860,NGP
157.2275,-2.8777,0.05050,NGP
157.2131,-5.9039,0.05920,NGP
157.1539,-3.6090,0.06910,NGP
157.1383,-3.2296,0.13200,NGP
157.0973,-5.7434,0.15040,NGP
157.0433,-5.1181,0.01840,NGP
157.0263,-3.5225,0.12130,NGP
156.9786,-3.5586,0.03020,NGP
156.9294,-3.0685,0.15950,NGP
156.9093,-3.4612,0.06620,NGP
156.8923,-3.1391,0.03030,NGP
156.8130,-3.9329,0.03820,NGP
156.8122,-3.3364,0.03070,NGP
156.7933,-3.3441,0.02970,NGP
156.7881,-2.7830,0.05620,NGP
156.7686,-3.7484,0.19860,NGP
156.7205,-3.7131,0.02990,NGP
156.7162,-3.4644,0.03440,NGP
156.7045,-3.4887,0.06040,NGP
156.6952,-5.4779,0.13530,NGP
156.6455,-3.0901,0.13540,NGP
156.4987,-5.4458,0.18300,NGP
156.4360,-4.7801,0.07550,NGP
156.3985,-5.3442,0.07270,NGP
156.3999,-3.7612,0.03270,NGP
156.3749,-5.1426,0.13700,NGP
156.3627,-3.3349,0.19590,NGP
156.2890,-2.9303,0.06050,NGP
156.2651,-2.9783,0.06160,NGP
156.2325,-3.9152,0.13110,NGP
156.1499,-2.9754,0.06150,NGP
156.1388,-3.9262,0.05530,NGP
156.1359,-5.8289,0.14580,NGP
156.0723,-4.1951,0.03860,NGP
156.0058,-2.8534,0.05980,NGP
155.9920,-5.1133,0.05450,NGP
155.9712,-5.1616,0.07440,NGP
155.8911,-5.6296,0.05390,NGP
155.8773,-3.2887,0.13120,NGP
155.8636,-5.7443,0.11640,NGP
155.8546,-2.7545,0.06300,NGP
155.8402,-5.7458,0.15720,NGP
155.8175,-6.2102,0.15750,NGP
155.8107,-5.8737,0.08710,NGP
155.8083,-2.7956,0.04300,NGP
155.7867,-4.6807,0.16170,NGP
155.7615,-5.7173,0.13140,NGP
155.7282,-3.8851,0.03850,NGP
155.6808,-3.5380,0.03060,NGP
155.6688,-5.8021,0.13130,NGP
155.6410,-2.9851,0.07240,NGP
155.6381,-3.7742,0.03210,NGP
155.6306,-3.6202,0.12800,NGP
155.5503,-4.4378,0.10060,NGP
155.5470,-5.0743,0.09910,NGP
155.5210,-4.7647,0.05380,NGP
155.4898,-5.4786,0.07120,NGP
155.4565,-5.6057,0.07270,NGP
155.4527,-6.1583,0.10210,NGP
155.3635,-3.4300,0.06330,NGP
155.3217,-5.2271,0.13020,NGP
155.3049,-5.8304,0.07350,NGP
155.3089,-3.7703,0.03930,NGP
155.2282,-5.4315,0.03880,NGP
155.2237,-5.6341,0.16330,NGP
155.2181,-4.4811,0.05390,NGP
155.1821,-6.5329,0.05480,NGP
155.1438,-5.0468,0.18970,NGP
155.0666,-5.7106,0.16330,NGP
155.0450,-5.2016,0.05010,NGP
155.0230,-5.5147,0.04870,NGP
154.9857,-4.0199,0.03930,NGP
154.9541,-3.6381,0.17620,NGP
154.9461,-4.9899,0.05680,NGP
154.9443,-5.0535,0.05060,NGP
154.9430,-3.3323,0.04910,NGP
154.9269,-4.2927,0.04680,NGP
154.8817,-6.4317,0.14630,NGP
154.8826,-2.9541,0.04840,NGP
154.7908,-4.1647,0.16350,NGP
154.7887,-4.6145,0.05340,NGP
154.7393,-3.3234,0.17530,NGP
154.6834,-3.0875,0.11290,NGP
154.6409,-3.3089,0.04690,NGP
154.6262,-2.9823,0.16540,NGP
154.4855,-3.9346,0.04120,NGP
154.4694,-4.6271,0.05410,NGP
154.4187,-5.9713,0.05360,NGP
154.4007,-4.0722,0.09710,NGP
154.3941,-3.0749,0.11360,NGP
154.3465,-5.9328,0.05460,NGP
154.3531,-3.1210,0.18970,NGP
154.3102,-5.1579,0.05610,NGP
154.3122,-2.8004,0.18960,NGP
154.2825,-5.2519,0.05400,NGP
154.2615,-3.9599,0.08760,NGP
154.0865,-3.2301,0.18730,NGP
154.0754,-5.6601,0.05460,NGP
154.0279,-5.9777,0.10080,NGP
153.9535,-4.0992,0.11630,NGP
153.9330,-5.5976,0.12980,NGP
