HIP,RAICRS,DEICRS,Vmag,Plx,pmRA,pmDE,BV
88,0.26915958,-48.80985919,5.71,5.97,-17.92,-6.75,0.911
107,0.33380226,-50.33739907,5.53,5.84,7.34,10.59,1.615
122,0.39937928,-77.06529438,4.78,14.77,-56.52,-176.95,1.254
124,0.40424537,61.22280406,5.58,0.86,-2.80,-1.34,0.407
145,0.45598912,-3.02747891,5.13,7.98,18.90,-10.25,-0.128
154,0.48996506,-6.01397169,4.37,7.86,46.62,-41.32,1.631
171,0.54018776,27.08448905,5.80,80.63,778.59,-918.72,0.690
183,0.58297574,-29.72044805,5.04,6.40,9.66,14.00,-0.150
194,0.62398938,8.48557854,5.70,26.53,-93.55,-47.50,0.315
207,0.65034249,66.09896341,5.87,1.57,3.32,1.14,1.073
301,0.93488487,-17.33597002,4.55,14.31,28.57,-7.28,-0.047
330,1.05693212,62.28766460,5.90,0.89,-0.99,-0.37,0.274
343,1.08233885,-16.52888969,5.78,11.29,53.77,-60.27,1.084
355,1.12550980,-10.50949443,4.99,2.03,-6.49,-11.88,1.619
377,1.17188841,-71.43685835,5.59,5.70,30.00,-13.62,-0.100
379,1.17432297,67.16638761,5.68,10.30,95.58,23.80,1.051
418,1.27555231,61.31396468,5.80,4.50,14.29,2.24,-0.067
443,1.33394073,-5.70783255,4.61,25.38,-8.29,88.19,1.029
476,1.42473238,13.39628227,5.55,8.75,42.59,-6.51,0.901
518,1.56474395,58.43668966,5.98,49.30,247.36,17.77,0.687
522,1.57776340,-49.07509405,5.70,39.00,575.21,-39.94,0.519
531,1.61052855,64.19616859,5.57,3.32,9.70,0.01,-0.023
636,1.94523194,-22.50847542,5.93,12.45,70.10,-34.71,0.141
655,2.01465535,-33.52933371,5.67,10.02,-42.75,3.15,1.119
671,2.07313617,-8.82402541,5.99,9.79,-34.13,-35.67,1.034
677,2.09653333,29.09082805,2.07,33.60,135.68,-162.95,-0.038
729,2.25974230,18.21202529,5.57,11.17,140.93,-25.57,1.043
746,2.29204036,59.15021814,2.28,59.89,523.39,-180.42,0.380
761,2.33758620,-27.98790390,5.42,14.57,72.57,-9.99,0.414
765,2.35224949,-45.74698836,3.88,23.28,122.15,-180.13,1.013
813,2.50910252,11.14580908,5.54,10.04,29.73,1.64,-0.064
814,2.50945435,-82.22399743,5.29,13.45,-21.66,-20.39,1.049
840,2.57853868,-5.24851713,5.84,18.18,34.98,-29.01,0.973
841,2.58017518,46.07227117,5.01,3.24,4.51,0.21,0.405
873,2.67810574,-12.57980381,5.84,15.35,149.39,-38.22,1.000
910,2.81628415,-15.46732287,4.89,52.94,-84.20,-269.31,0.487
930,2.89340430,-27.79977820,5.41,5.61,4.61,17.09,1.346
950,2.93286698,-35.13339606,5.24,45.85,169.01,113.75,0.459
983,3.04145374,-17.93821766,5.29,5.33,60.48,-24.69,1.478
1067,3.30895828,15.18361593,2.83,9.79,4.70,-8.24,-0.190
1074,3.33145220,-84.99402068,5.78,4.00,10.97,17.40,1.710
1086,3.37889713,41.03572671,5.71,28.57,-122.76,-146.91,0.331
1096,3.42591849,-26.02215399,5.94,3.22,37.59,-78.73,1.548
1158,3.61496786,-7.78053784,5.13,5.21,61.01,2.36,1.601
1168,3.65045047,20.20669720,4.79,10.01,90.66,1.88,1.572
1170,3.66013628,-18.93268628,4.44,6.62,-27.15,-73.78,1.640
1191,3.72708897,-9.56955053,5.77,9.40,22.64,-8.45,-0.084
1288,4.03660680,-31.44632821,5.66,7.64,117.87,-27.11,1.350
1354,4.23771177,61.53319397,5.74,5.08,-6.00,-3.46,0.898
1366,4.27306518,38.68167915,4.61,12.88,-50.01,-17.90,0.059
1372,4.28766746,47.94741495,5.86,3.42,4.05,-3.97,-0.079
1473,4.58210555,36.78532730,4.51,23.11,-66.51,-42.48,0.054
1493,4.65924059,31.51723388,5.88,6.00,58.09,-2.91,-0.014
1562,4.85701265,-8.82382948,3.56,11.26,-14.37,-37.84,1.214
1599,5.00797581,-64.87762320,4.23,116.38,1707.56,1165.36,0.576
1630,5.10163324,30.93561514,5.89,5.60,15.27,-0.64,-0.098
1645,5.14943435,8.19024803,5.38,8.26,-4.50,9.59,1.343
1647,5.16267858,-69.62491154,5.50,10.65,-4.01,-0.64,-0.046
1657,5.18974442,32.91122853,5.79,5.05,-29.44,-17.29,1.595
1686,5.28010785,37.96869954,5.16,20.42,58.32,-39.65,0.442
1706,5.36976160,-77.42685699,5.96,4.68,14.23,-6.44,1.397
1708,5.37990144,-28.98129509,5.18,10.50,32.77,-71.48,1.006
1728,5.44264511,-20.05799253,5.61,4.21,62.63,-12.77,1.580
1921,6.06518443,52.01992467,5.58,2.38,13.70,-4.40,-0.110
1960,6.19786908,61.83106347,5.38,4.27,13.67,-2.45,0.008
1982,6.27660700,53.04678501,5.72,6.17,25.80,0.30,-0.056
2006,6.35090309,1.93972374,5.77,5.50,-14.33,-12.89,0.855
2021,6.41334183,-77.25503511,2.82,133.78,2220.12,324.37,0.618
2072,6.55048418,-43.67990933,3.93,42.51,106.14,32.83,0.175
2081,6.57028075,-42.30512197,2.40,42.14,232.76,-353.64,1.083
2159,6.81119663,-25.54713325,5.99,4.86,32.93,-15.26,1.022
2210,6.98213606,-33.00704460,4.86,5.95,-20.48,-50.39,1.634
2219,7.01185234,17.89307501,5.01,6.65,114.91,20.48,1.584
2225,7.05660466,44.39448925,5.18,12.32,84.10,-15.33,0.043
2240,7.11007309,-39.91490183,5.42,7.86,135.95,-41.36,1.556
2353,7.50980355,-3.95729662,5.72,3.82,8.61,-14.51,1.545
2355,7.53056566,29.75169567,5.20,17.62,43.56,-57.18,0.271
2377,7.58297373,59.97756400,5.94,4.54,16.26,-3.94,-0.003
2381,7.59446346,-23.78771429,5.17,18.08,-26.95,13.97,0.128
2383,7.60822774,-48.21469821,5.67,22.19,163.44,-87.30,0.367
2472,7.85356695,-48.80356171,4.76,18.97,140.74,19.47,0.018
2475,7.85668759,33.58168169,5.88,6.98,49.61,-16.26,1.133
2484,7.88566992,-62.95808549,4.36,23.35,82.48,-54.37,-0.064
2487,7.88898014,-62.96544985,4.53,18.95,87.95,-45.79,0.147
2497,7.92171234,52.83955844,5.59,8.29,-55.33,-13.14,1.163
2505,7.94299136,54.52232473,4.74,9.20,40.78,-14.81,-0.098
2548,8.09897908,6.95545461,5.69,12.36,45.91,3.54,-0.014
2568,8.14750345,20.29443334,5.38,12.69,136.81,-48.10,1.069
2578,8.18247614,-63.03137868,5.07,21.52,86.15,-49.85,0.038
2599,8.24994391,62.93178781,4.17,0.79,3.99,-2.10,0.130
2611,8.29301467,54.89508062,5.93,8.68,70.08,-39.36,1.037
2661,8.42108802,-29.55820696,5.55,6.56,-27.91,-29.31,1.262
2711,8.61506261,-52.37318294,5.57,39.03,227.80,38.21,0.472
2762,8.81100390,-3.59275785,5.20,47.51,407.68,-36.47,0.567
2787,8.88645754,-0.50545908,5.94,17.97,143.36,-61.94,0.444
2802,8.92139531,-48.00066027,5.51,27.61,47.14,-101.40,0.461
2854,9.03453140,54.16845384,5.08,6.45,22.98,-1.52,-0.098
2876,9.11392475,60.32621728,5.78,0.97,3.05,-1.10,0.294
2900,9.19362920,44.48850971,5.14,4.97,-36.70,31.77,1.587
2903,9.19713232,15.23175994,5.89,3.81,0.91,-14.18,-0.146
2912,9.22016239,33.71935227,4.34,4.97,15.23,-3.56,-0.123
2920,9.24277921,53.89693161,3.69,5.46,17.77,-9.15,-0.196
2941,9.33244613,-24.76722545,5.57,64.38,1422.09,-17.15,0.715
2942,9.33844167,35.39951013,5.45,3.19,-9.21,-3.57,0.886
3031,9.63958024,29.31236900,4.34,19.34,-229.41,-254.08,0.871
3083,9.79119583,49.35459528,5.45,2.45,7.93,-2.74,1.644
3092,9.83165567,30.86122579,3.27,32.19,115.38,-83.05,1.268
3093,9.84206107,21.25137390,5.88,90.03,-461.07,-370.88,0.850
3138,9.98147468,21.43856440,5.36,7.94,28.46,-28.51,1.160
3170,10.10273354,-59.45568115,5.89,39.26,883.26,443.01,0.564
3179,10.12661349,56.53740928,2.24,14.27,50.36,-32.17,1.170
3193,10.17658814,-4.35180551,5.90,5.66,-15.29,-14.48,1.091
3231,10.27998074,39.45867141,5.30,9.47,-14.37,-3.02,0.891
3245,10.33156671,-46.08500934,4.59,13.19,-28.92,1.04,0.953
3277,10.44292464,-56.50145475,5.72,15.29,90.15,57.28,0.131
3299,10.51431560,66.14761311,5.83,6.48,-9.79,-8.55,1.042
3300,10.51618425,50.51254151,4.80,2.94,12.32,-6.48,-0.105
3330,10.61790472,-65.46813002,5.38,24.59,54.11,41.12,0.515
3352,10.67349903,-60.26268184,5.99,13.73,263.68,-51.74,1.318
3405,10.83851683,-57.46309763,4.36,13.57,-5.16,15.50,0.024
3414,10.86704470,47.02463657,4.95,18.71,-24.52,-37.16,0.170
3419,10.89678452,-17.98668410,2.04,34.04,232.79,32.71,1.019
3455,11.04752272,-10.60927365,4.77,15.54,-6.96,-113.88,0.998
3456,11.04964742,-38.42197898,5.90,8.76,247.02,120.68,1.144
3478,11.10927611,47.86396300,5.66,4.29,-39.77,8.54,-0.113
