icrf_name,iers_name,ra_deg,dec_deg,n_sess,pos_err_mas
ICRF J000435.6-473619,0002-478,1.148565,-47.605446,62,0.1264
ICRF J001031.0+105829,0007+106,2.629191,10.974862,90,0.0528
ICRF J001140.4-143404,0009-148,2.918566,-14.567954,4,0.2887
ICRF J001331.1+405137,0010+405,3.379709,40.860318,77,0.0512
ICRF J001611.0-001512,0013-005,4.046202,-0.253457,106,0.0739
ICRF J001937.8+202145,0017+200,4.907727,20.362679,291,0.0434
ICRF J001945.7+732730,0016+731,4.940777,73.458338,916,0.043
ICRF J003814.7-245902,0035-252,9.561398,-24.983954,152,0.0579
ICRF J004030.6-322520,0038-326,10.127729,-32.422314,5,0.6714
ICRF J004426.6-842239,0044-846,11.111205,-84.377774,5,0.1472
ICRF J004847.1+315725,0046+316,12.196423,31.956968,26,0.0825
ICRF J004943.2+023703,0047+023,12.43015,2.617716,37,0.1065
ICRF J005041.3-092905,0048-097,12.672156,-9.484781,2131,0.0438
ICRF J005655.2+162513,0054+161,14.230393,16.420372,156,0.0498
ICRF J010245.7+582411,0059+581,15.690677,58.403094,2635,0.0428
ICRF J010645.1-403419,0104-408,16.68795,-40.572211,1896,0.0446
ICRF J010915.4-604948,0107-610,17.31448,-60.830128,56,0.1258
ICRF J011327.0+494824,0110+495,18.362528,49.806679,63,0.0542
ICRF J013658.5+475129,0133+476,24.244145,47.858083,1990,0.0429
ICRF J015218.0+220707,0149+218,28.075246,22.118805,111,0.0538
ICRF J020333.3+723253,0159+723,30.889104,72.548241,74,0.051
ICRF J020457.6-170119,0202-172,31.24031,-17.022178,122,0.0519
ICRF J020504.9+321230,0202+319,31.270522,32.20836,530,0.0431
ICRF J021046.2-510101,0208-512,32.692502,-51.017192,743,0.0484
ICRF J021748.9+014449,0215+015,34.453978,1.747139,274,0.0443
ICRF J022428.4+065923,0221+067,36.118451,6.989817,140,0.0505
ICRF J022928.4-364356,0227-369,37.368538,-36.732451,118,0.0756
ICRF J022934.9-784745,0230-790,37.395611,-78.796,119,0.0569
ICRF J023045.7+403253,0227+403,37.690462,40.548075,5,0.1412
ICRF J023631.1-295355,0234-301,39.129873,-29.898761,71,0.0801
ICRF J023653.2-613615,0235-618,39.221857,-61.604218,40,0.1307
ICRF J023838.9+163659,0235+164,39.662209,16.616465,1076,0.0433
ICRF J023945.4-023440,0237-027,39.939468,-2.578032,502,0.0447
ICRF J024224.2+174258,0239+175,40.601118,17.716347,44,0.0921
ICRF J025928.5-001959,0256-005,44.868817,-0.333326,213,0.0474
ICRF J030335.2+471616,0300+470,45.896843,47.271188,839,0.0447
ICRF J030642.6+624302,0302+625,46.677748,62.717229,82,0.0536
ICRF J030826.2+040639,0305+039,47.109266,4.110917,36,0.0913
ICRF J030956.0-605839,0308-611,47.483746,-60.977516,890,0.0446
ICRF J031049.8+381453,0307+380,47.707833,38.248288,315,0.0443
ICRF J031521.1+101243,0312+100,48.838083,10.211968,29,0.101
ICRF J031757.6-441417,0316-444,49.490331,-44.238101,22,0.4082
ICRF J032536.8+222400,0322+222,51.403393,22.400102,593,0.0436
ICRF J033413.6-400825,0332-403,53.556894,-40.140388,805,0.044
ICRF J033635.0-130204,0334-131,54.145983,-13.034628,6,0.1735
ICRF J034838.1-274913,0346-279,57.158936,-27.820435,224,0.0541
ICRF J034957.8-210247,0347-211,57.490944,-21.046595,183,0.0524
ICRF J035446.1+800928,0346+800,58.692192,80.158013,5,0.1752
ICRF J035547.8-664533,0355-669,58.949514,-66.759394,23,0.2911
ICRF J040221.2-314725,0400-319,60.588608,-31.79054,115,0.0817
ICRF J040353.7-360501,0402-362,60.973958,-36.083865,1046,0.0461
ICRF J040534.0-130813,0403-132,61.391681,-13.137136,152,0.0501
ICRF J040905.7-123848,0406-127,62.274041,-12.646707,100,0.0869
ICRF J041922.5+395528,0415+398,64.843956,39.924716,141,0.0503
ICRF J042252.2+021926,0420+022,65.717561,2.324147,206,0.0448
ICRF J043337.8+290555,0430+289,68.407624,29.098744,217,0.0522
ICRF J043900.8-452222,0437-454,69.753561,-45.372934,184,0.0542
ICRF J045005.4-810102,0454-810,72.522668,-81.017287,195,0.0463
ICRF J045703.1-232452,0454-234,74.263247,-23.41445,3363,0.0432
ICRF J050112.8-015914,0458-020,75.303375,-1.987293,2749,0.0431
ICRF J050643.9-610940,0506-612,76.683286,-61.161387,172,0.0679
ICRF J050842.3+843204,0454+844,77.176515,84.534596,449,0.0462
ICRF J050927.4+101144,0506+101,77.364404,10.195722,156,0.0549
ICRF J051002.3+180041,0507+179,77.509871,18.01155,99,0.0569
ICRF J051418.6+560211,0510+559,78.577915,56.036404,6,0.1507
ICRF J051803.8+205452,0515+208,79.515935,20.914583,103,0.0625
ICRF J052234.4-610757,0522-611,80.643439,-61.132537,53,0.12
ICRF J052616.6-483036,0524-485,81.569464,-48.51022,50,0.1034
ICRF J052732.7+033131,0524+034,81.886273,3.525421,160,0.0572
ICRF J052930.0-724528,0530-727,82.375176,-72.757919,265,0.0554
ICRF J053315.8+482252,0529+483,83.316107,48.381335,467,0.0433
ICRF J053628.4-340111,0534-340,84.118468,-34.019852,148,0.0702
ICRF J053942.3+143345,0536+145,84.926525,14.562656,299,0.0481
ICRF J053954.2-283955,0537-286,84.976173,-28.665541,439,0.0464
ICRF J054138.0-054149,0539-057,85.408681,-5.697063,38,0.1265
ICRF J054734.1+272156,0544+273,86.892287,27.36579,295,0.0464
ICRF J055111.2+082911,0548+084,87.796789,8.486451,5,0.2052
ICRF J055530.8+394849,0552+398,88.878357,39.813657,4655,0.0428
ICRF J055932.0+235353,0556+238,89.883471,23.898313,858,0.0453
ICRF J060759.6-083449,0605-085,91.998747,-8.58055,78,0.0686
ICRF J060940.9-154240,0607-157,92.420623,-15.711298,888,0.0435
ICRF J061716.9+570116,0613+570,94.320511,57.021229,164,0.0459
ICRF J062603.0+820225,0615+820,96.512526,82.040436,52,0.0624
ICRF J062923.7-195919,0627-199,97.349008,-19.988812,236,0.0482
ICRF J064425.2-345941,0642-349,101.105338,-34.994986,3,0.4407
ICRF J064453.7+391447,0641+392,101.22379,39.246537,288,0.0483
ICRF J064814.0-304419,0646-306,102.058735,-30.738794,253,0.0512
ICRF J065024.5-163739,0648-165,102.602424,-16.627702,466,0.0441
ICRF J070001.5+170921,0657+172,105.006356,17.156028,564,0.0435
ICRF J070134.5-463436,0700-465,105.393944,-46.57684,7,1.9866
ICRF J070242.9-195122,0700-197,105.678753,-19.856121,193,0.0484
ICRF J072153.4+712036,0716+714,110.472702,71.343434,557,0.043
ICRF J073019.1-114112,0727-115,112.579635,-11.686834,4323,0.043
ICRF J073856.4-673550,0738-674,114.735401,-67.597452,28,0.1823
ICRF J073918.0+013704,0736+017,114.825141,1.617949,282,0.045
ICRF J074202.7+490015,0738+491,115.511454,49.004336,183,0.0448
ICRF J074320.4-561932,0742-562,115.835355,-56.325822,5,0.8459
ICRF J074554.0-004417,0743-006,116.475343,-0.738206,130,0.0547
ICRF J074625.8+254902,0743+259,116.607809,25.81726,831,0.0437
ICRF J074640.4+273459,0743+277,116.668468,27.583069,178,0.0464
ICRF J075052.0+123104,0748+126,117.716857,12.518008,607,0.0431
ICRF J075301.3+535259,0749+540,118.255769,53.883233,1155,0.043
ICRF J080248.0+180949,0759+183,120.700133,18.16368,133,0.0543
ICRF J080512.8-011113,0802-010,121.303702,-1.187165,3,0.1805
ICRF J080518.1+614423,0800+618,121.325748,61.739917,400,0.0435
ICRF J080612.7-265233,0804-267,121.553011,-26.875919,5,0.2051
ICRF J080839.6+495036,0804+499,122.165276,49.843481,1583,0.043
ICRF J080856.6+405244,0805+410,122.23605,40.879136,797,0.0437
ICRF J081108.8-492943,0809-493,122.78668,-49.49542,8,3.2378
ICRF J081126.7+014652,0808+019,122.86128,1.781172,593,0.0439
ICRF J082057.4-125859,0818-128,125.239365,-12.983103,39,0.1072
ICRF J082804.7-373106,0826-373,127.019918,-37.518412,184,0.0537
ICRF J083155.0+084743,0829+089,127.979548,8.795459,3,0.3574
ICRF J083639.2-201659,0834-201,129.163397,-20.283196,543,0.0465
ICRF J083740.2+245423,0834+250,129.41769,24.906423,29,0.0685
ICRF J085009.6-121335,0847-120,132.540148,-12.226493,215,0.0486
ICRF J085511.7-714906,0855-716,133.799041,-71.81846,4,0.3095
ICRF J091552.4+293324,0912+297,138.96834,29.556679,35,0.1391
ICRF J091944.0-534006,0918-534,139.933498,-53.668458,7,0.412
ICRF J092314.4+384939,0920+390,140.810221,38.827753,258,0.0462
ICRF J092833.4-040908,0926-039,142.139456,-4.152458,4,0.2103
ICRF J093317.0-081910,0930-080,143.321231,-8.319681,4,0.1492
ICRF J094635.0+101706,0943+105,146.646125,10.285037,73,0.0811
ICRF J095439.7+263924,0951+268,148.665819,26.656818,109,0.0654
ICRF J095819.6+472507,0955+476,149.581965,47.418845,2697,0.0429
ICRF J095847.2+653354,0954+658,149.696855,65.565227,348,0.0452
ICRF J100614.0-501813,1004-500,151.558372,-50.303742,169,0.0801
ICRF J100646.4-215920,1004-217,151.69339,-21.989003,39,0.1282
ICRF J101447.0+230116,1012+232,153.696106,23.02127,96,0.0522
ICRF J101827.8+053029,1015+057,154.616035,5.508323,153,0.0526
ICRF J101828.7-312353,1016-311,154.619806,-31.398292,29,0.1911
ICRF J102343.5-664648,1022-665,155.931388,-66.780199,61,0.0919
ICRF J102444.8+191220,1022+194,156.186707,19.205671,90,0.0554
ICRF J102933.0-185250,1027-186,157.387907,-18.880636,131,0.091
ICRF J103653.4-374415,1034-374,159.222665,-37.737518,83,0.0843
ICRF J103840.6-531143,1036-529,159.669405,-53.195353,7,0.2589
ICRF J104309.0+240835,1040+244,160.787649,24.143169,250,0.0442
ICRF J104455.9+065538,1042+071,161.232964,6.927295,45,0.0868
ICRF J105653.6+701145,1053+704,164.223406,70.196088,343,0.0437
ICRF J110214.2+275708,1059+282,165.559535,27.952414,89,0.0623
ICRF J110352.2-535700,1101-536,165.96759,-53.950194,79,0.0955
ICRF J111358.6+144226,1111+149,168.494563,14.707487,259,0.0557
ICRF J111826.9-463415,1116-462,169.612324,-46.570834,35,0.2124
ICRF J112704.3-185717,1124-186,171.768302,-18.954845,1977,0.0433
ICRF J113320.0+004052,1130+009,173.333566,0.681344,93,0.0723
ICRF J113624.5-033029,1133-032,174.102404,-3.508194,358,0.0475
ICRF J114553.6-695401,1143-696,176.473434,-69.900499,46,0.0948
ICRF J114608.1-244732,1143-245,176.533764,-24.792471,47,0.1022
ICRF J114628.4-332842,1143-332,176.618549,-33.478509,33,0.1624
ICRF J114658.2+395834,1144+402,176.742908,39.976196,677,0.0432
ICRF J114701.3-381211,1144-379,176.755711,-38.203062,1919,0.0438
ICRF J115217.2-084103,1149-084,178.071706,-8.684254,380,0.045
ICRF J115324.4+493108,1150+497,178.351944,49.519119,44,0.067
ICRF J122222.5+041315,1219+044,185.593957,4.221049,1460,0.0445
ICRF J122340.4+804004,1221+809,185.918724,80.667872,96,0.0469
ICRF J122503.7+125313,1222+131,186.265597,12.886983,29,0.1505
ICRF J122847.4+370612,1226+373,187.197599,37.10336,248,0.0464
ICRF J123014.0+251807,1227+255,187.558706,25.301982,5,0.1334
ICRF J123924.5+073017,1236+077,189.852451,7.504775,101,0.0505
ICRF J124553.7-161645,1243-160,191.473926,-16.279363,171,0.0516
ICRF J124604.2-073046,1243-072,191.517634,-7.512937,306,0.0458
ICRF J124646.8-254749,1244-255,191.695008,-25.797025,400,0.0489
ICRF J124828.4-455947,1245-457,192.11873,-45.996439,19,0.2307
ICRF J125459.9-713818,1251-713,193.749673,-71.638455,80,0.0778
ICRF J130252.4+574837,1300+580,195.718605,57.810447,1389,0.0429
ICRF J130948.4-394833,1306-395,197.452035,-39.809191,5,0.3026
ICRF J131059.4+323334,1308+328,197.747511,32.559569,324,0.0443
ICRF J131504.1-533435,1312-533,198.767421,-53.576632,8,0.2934
ICRF J131607.9-333859,1313-333,199.033275,-33.64977,441,0.053
ICRF J132700.8+221050,1324+224,201.753589,22.180601,663,0.0433
ICRF J132754.6+122309,1325+126,201.977846,12.385883,6,0.1321
ICRF J132901.1-560802,1325-558,202.25477,-56.134074,65,0.1038
ICRF J133245.2+472222,1330+476,203.188527,47.372963,25,0.0684
ICRF J133253.2+020045,1330+022,203.221961,2.012694,34,0.0644
ICRF J133739.7-125724,1334-127,204.415762,-12.956859,3255,0.0433
ICRF J135052.7+303453,1348+308,207.719734,30.581553,74,0.0622
ICRF J135406.8-020603,1351-018,208.528731,-2.100886,1449,0.0462
ICRF J135755.3+764321,1357+769,209.480715,76.722514,2174,0.0428
ICRF J140856.4-075226,1406-076,212.235338,-7.874074,309,0.0467
ICRF J140950.1-265736,1406-267,212.459041,-26.960272,294,0.0666
ICRF J141526.0-370526,1412-368,213.858401,-37.090825,35,0.2092
ICRF J141946.5+542314,1418+546,214.944156,54.387441,1053,0.0431
ICRF J142455.5-680758,1420-679,216.231489,-68.132804,51,0.0857
ICRF J142549.0+142456,1423+146,216.454242,14.415806,59,0.0699
ICRF J142756.2-420619,1424-418,216.984573,-42.105399,1963,0.0436
ICRF J143040.5+364903,1428+370,217.669099,36.817747,48,0.0668
ICRF J143809.4-220454,1435-218,219.539456,-22.081875,47,0.0964
ICRF J144553.3-162901,1443-162,221.472401,-16.483783,94,0.0711
ICRF J144828.7+760111,1448+762,222.119913,76.019888,86,0.0463
ICRF J145239.6-650203,1448-648,223.16533,-65.034287,28,0.2054
ICRF J145432.9-401232,1451-400,223.637135,-40.209032,100,0.1
ICRF J150424.9+102939,1502+106,226.104082,10.494222,687,0.0476
ICRF J150609.5+373051,1504+377,226.539708,37.514203,175,0.047
ICRF J151002.9+570243,1508+572,227.512177,57.045382,79,0.0601
ICRF J151250.5-090559,1510-089,228.210554,-9.099953,545,0.0481
ICRF J151440.0-474829,1511-476,228.666769,-47.808294,24,0.2778
ICRF J151512.6-555932,1511-558,228.802804,-55.992455,6,0.5998
ICRF J151656.7+193212,1514+197,229.236651,19.536942,197,0.0473
ICRF J152149.6+433639,1520+437,230.456724,43.610908,358,0.045
ICRF J152209.9+314414,1520+319,230.541632,31.737328,285,0.0453
ICRF J152237.6-273010,1519-273,230.656983,-27.502996,1396,0.0437
ICRF J154049.4+144745,1538+149,235.206215,14.796079,191,0.0461
ICRF J155751.4-000150,1555+001,239.464308,-0.03067,393,0.0471
ICRF J155930.9+030448,1557+032,239.879053,3.080071,83,0.0649
ICRF J155941.4-244238,1556-245,239.922538,-24.710787,27,0.1682
ICRF J160431.0-444131,1600-445,241.129253,-44.692215,11,0.567
ICRF J160517.5-113926,1602-115,241.323049,-11.657453,166,0.069
ICRF J160846.2+102907,1606+106,242.192513,10.485493,2519,0.043
ICRF J161021.8-395858,1606-398,242.591163,-39.982869,29,0.1962
ICRF J161042.0+241449,1608+243,242.675112,24.246948,95,0.0634
ICRF J162418.4-680912,1619-680,246.076821,-68.153471,70,0.067
ICRF J162424.8+574116,1623+578,246.103365,57.687856,263,0.0509
ICRF J162854.6-615236,1624-617,247.227874,-61.876777,54,0.0877
ICRF J163745.1+471733,1636+473,249.438044,47.292731,185,0.0459
ICRF J164202.1-062123,1639-062,250.509074,-6.356582,422,0.0437
ICRF J164207.8+685639,1642+690,250.532702,68.944377,254,0.0442
ICRF J165039.5-294346,1647-296,252.664767,-29.72971,44,0.1516
ICRF J170053.1-261051,1657-261,255.221475,-26.181035,673,0.0452
ICRF J170124.6+395437,1659+399,255.352645,39.910303,54,0.0636
ICRF J170734.4+014845,1705+018,256.893397,1.812694,308,0.0452
ICRF J170934.3-172853,1706-174,257.393106,-17.48149,261,0.0627
ICRF J171913.0+174506,1717+178,259.804369,17.751788,90,0.0513
ICRF J172155.9-255840,1718-259,260.483246,-25.97797,5,0.7301
ICRF J172824.9+042704,1725+044,262.10397,4.451365,31,0.0798
ICRF J173302.7-130449,1730-130,263.261274,-13.08043,853,0.0459
ICRF J174001.5-081114,1737-081,265.006526,-8.187439,7,0.153
ICRF J174358.8-035004,1741-038,265.995234,-3.834616,4400,0.0429
ICRF J174614.0+622654,1745+624,266.558476,62.448538,944,0.0439
ICRF J174726.6+465850,1746+470,266.86103,46.980813,67,0.0533
ICRF J175132.8+093900,1749+096,267.886744,9.650202,3422,0.0429
ICRF J175342.4+284804,1751+288,268.426974,28.801372,519,0.0431
ICRF J175535.5+202357,1753+204,268.898004,20.399205,5,0.2619
ICRF J175653.1+153520,1754+155,269.221259,15.589118,242,0.0496
ICRF J180024.7+384830,1758+388,270.103189,38.808527,142,0.047
ICRF J180242.6-394007,1759-396,270.677834,-39.668863,739,0.0493
ICRF J180957.8-455241,1806-458,272.491132,-45.878059,76,0.112
ICRF J181945.3-552120,1815-553,274.939165,-55.355763,445,0.0663
ICRF J182332.8+685752,1823+689,275.886891,68.964615,92,0.0561
ICRF J183728.7-710843,1831-711,279.369646,-71.145432,64,0.0653
ICRF J184822.0+321902,1846+322,282.092036,32.31739,649,0.0434
ICRF J184916.0+670541,1849+670,282.316968,67.094911,357,0.0432
ICRF J190946.5+483431,1908+484,287.444011,48.575506,28,0.119
ICRF J191109.6-200655,1908-201,287.79022,-20.115308,1296,0.0461
ICRF J191158.2+161146,1909+161,287.992739,16.196351,342,0.0477
ICRF J192451.0-291430,1921-293,291.212733,-29.2417,2530,0.044
ICRF J193006.1-605609,1925-610,292.525667,-60.935884,67,0.0847
ICRF J193124.9+224331,1929+226,292.85382,22.72535,199,0.0461
ICRF J193244.8-453637,1929-457,293.187032,-45.610536,17,0.2318
ICRF J193830.6+044811,1936+046,294.62779,4.803226,4,0.185
ICRF J193926.6-152543,1936-155,294.861074,-15.428627,292,0.0459
ICRF J193957.2-100241,1937-101,294.988569,-10.044867,37,0.1158
ICRF J194025.5-690756,1935-692,295.106367,-69.132492,73,0.0901
ICRF J195147.4-050943,1949-052,297.947785,-5.162212,5,0.1947
ICRF J195330.8+353759,1951+355,298.378649,35.633155,16,0.2843
ICRF J195759.8-384506,1954-388,299.499247,-38.751766,1619,0.0443
ICRF J200210.4+472528,2000+472,300.543409,47.424659,419,0.0433
ICRF J200241.9+150114,2000+148,300.674997,15.020715,69,0.0677
ICRF J200555.0-372341,2002-375,301.479462,-37.394855,76,0.0888
ICRF J201115.7-154640,2008-159,302.815462,-15.777848,733,0.0441
ICRF J201713.0+744047,2017+745,304.304497,74.68,41,0.0634
ICRF J202540.6-073552,2022-077,306.419418,-7.597969,6,0.1442
ICRF J203154.9+121941,2029+121,307.979143,12.32815,127,0.0504
ICRF J203909.9-031714,2036-034,309.791604,-3.287338,3,0.38
ICRF J203934.8+215209,2037+216,309.895035,21.869356,5,0.1428
ICRF J204008.7-250746,2037-253,310.036554,-25.129629,55,0.1517
ICRF J205616.3-471447,2052-474,314.068166,-47.246563,1215,0.0452
ICRF J210138.8+034131,2059+034,315.411809,3.692034,768,0.044
ICRF J211329.4+401251,2111+400,318.372859,40.214274,3,0.3365
ICRF J211529.4+293338,2113+293,318.872556,29.560657,1309,0.0436
ICRF J211630.8-805355,2109-811,319.128524,-80.898673,34,0.1271
ICRF J212305.3+550027,2121+547,320.772139,55.00759,6,0.1521
ICRF J214518.7+111527,2142+110,326.328229,11.257587,63,0.0693
ICRF J214622.9-152543,2143-156,326.595747,-15.428857,234,0.0581
ICRF J214712.7-753613,2142-758,326.803044,-75.603674,130,0.0482
ICRF J215137.8+055212,2149+056,327.907815,5.870265,569,0.0498
ICRF J215728.8+312701,2155+312,329.3701,31.450375,136,0.0486
ICRF J215852.0-301332,2155-304,329.716938,-30.225588,56,0.1085
ICRF J221205.9+235540,2209+236,333.02486,23.927929,491,0.0436
ICRF J221302.4-252930,2210-257,333.260408,-25.491689,38,0.143
ICRF J221620.0+351814,2214+350,334.083375,35.303939,562,0.0438
ICRF J221810.9+152035,2215+150,334.545475,15.343255,177,0.0444
ICRF J221852.0-033536,2216-038,334.716824,-3.593578,509,0.0551
ICRF J222305.9-345547,2220-351,335.774711,-34.929772,82,0.1121
ICRF J222940.0-083254,2227-088,337.417018,-8.548454,560,0.0436
ICRF J223036.4+694628,2229+695,337.651957,69.774466,689,0.043
ICRF J223513.2-483558,2232-488,338.805152,-48.599665,211,0.0496
ICRF J223912.0-570100,2236-572,339.800316,-57.0169,60,0.0643
ICRF J224703.9-365746,2244-372,341.766322,-36.962862,83,0.0796
ICRF J224838.6-323552,2245-328,342.161191,-32.59783,97,0.0726
ICRF J225307.3+194234,2250+190,343.280705,19.709619,189,0.0529
ICRF J225717.3+074312,2254+074,344.322096,7.720084,159,0.0492
