name,ra_deg,dec_deg,otype,vmag
M1,83.6325,22.0175,SNRemnant,nan
M2,323.36258,-0.82325,GlobCluster,6.25
M3,205.54842,28.37728,GlobCluster,6.39
M4,245.89675,-26.52575,GlobCluster,nan
M5,229.63842,2.08103,GlobCluster,5.95
M6,265.06917,-32.24194,OpenCluster,nan
M7,268.44708,-34.84111,OpenCluster,nan
M8,270.90417,-24.38667,OpenCluster,nan
M9,259.79908,-18.51625,GlobCluster,8.42
M10,254.28771,-4.10031,GlobCluster,4.98
M11,282.76583,-6.27194,OpenCluster,5.8
M12,251.80908,-1.94853,GlobCluster,6.07
M13,250.42348,36.46132,GlobCluster,5.8
M14,264.40062,-3.24592,GlobCluster,5.73
M15,322.49304,12.167,GlobCluster,nan
M16,274.68792,-13.79194,OpenCluster,nan
M17,275.19583,-16.17167,OpenCluster,nan
M18,274.9875,-17.08833,OpenCluster,nan
M19,255.65704,-26.26794,GlobCluster,5.57
M20,270.675,-22.97167,OpenCluster,nan
M21,271.03583,-22.505,OpenCluster,nan
M22,279.09975,-23.90475,GlobCluster,nan
M23,269.23708,-18.98694,OpenCluster,nan
M24,274.2,-18.55,Association,nan
M25,277.93708,-19.11389,OpenCluster,nan
M26,281.31708,-9.38611,OpenCluster,8.87
M27,299.90151,22.7212,PlanetaryNeb,14.09
M28,276.13704,-24.86983,GlobCluster,nan
M29,305.94167,38.48667,OpenCluster,6.6
M30,325.09217,-23.17986,GlobCluster,7.1
M31,10.68471,41.26875,AGN,3.44
M32,10.67427,40.86517,GtowardsGroup,8.08
M33,23.46207,30.66018,GtowardsGroup,5.72
M34,40.53083,42.72194,OpenCluster,nan
M35,92.27208,24.33611,OpenCluster,nan
M36,84.08417,34.135,OpenCluster,6.0
M37,88.07417,32.545,OpenCluster,nan
M38,82.16708,35.82389,OpenCluster,6.4
M39,322.88917,48.24694,OpenCluster,nan
M40,185.55,58.08333,Unknown,nan
M41,101.49917,-20.71611,OpenCluster,4.5
M42,83.82,-5.3875,HIIReg,nan
M43,83.87917,-5.27,HIIReg,nan
M44,130.05417,19.62111,OpenCluster,nan
M45,56.60083,24.11389,OpenCluster,nan
M46,115.445,-14.84389,OpenCluster,nan
M47,114.14708,-14.48889,OpenCluster,nan
M48,123.41208,-5.72611,OpenCluster,nan
M49,187.445,8.00028,Seyfert2,12.17
M50,105.68417,-8.365,OpenCluster,nan
M51,202.46957,47.19526,Seyfert2,8.36
M52,351.195,61.59,OpenCluster,nan
M53,198.23021,18.16817,GlobCluster,7.79
M54,283.76388,-30.47986,GlobCluster,nan
M55,294.99879,-30.96475,GlobCluster,6.49
M56,289.14821,30.18347,GlobCluster,nan
M57,283.39624,33.02913,PlanetaryNeb,15.77
M58,189.43166,11.81809,Seyfert2,9.66
M59,190.50941,11.64692,GtowardsGroup,nan
M60,190.91654,11.55269,GtowardsCl,nan
M61,185.47887,4.47378,Seyfert2,9.65
M62,255.3025,-30.11236,GlobCluster,nan
M63,198.95531,42.02937,LINER,8.59
M64,194.18207,21.68266,Seyfert,8.52
M65,169.73295,13.09231,GinPair,nan
M66,170.0625,12.99139,AGN,8.92
M67,132.84583,11.81389,OpenCluster,nan
M68,189.86658,-26.74406,GlobCluster,7.96
M69,277.84625,-32.34808,GlobCluster,nan
M70,280.80317,-32.29211,GlobCluster,nan
M71,298.44371,18.77919,GlobCluster,nan
M72,313.36542,-12.53731,GlobCluster,8.96
M73,314.75,-12.63333,Inexistent,nan
M74,24.17394,15.78364,Galaxy,9.46
M75,301.52017,-21.92226,GlobCluster,8.26
M76,25.5819,51.57543,PlanetaryNeb,17.48
M77,40.66962,-0.01329,Seyfert2,8.87
M78,86.69083,0.07917,RefNeb,nan
M79,81.04412,-24.52425,GlobCluster,8.16
M80,244.26004,-22.97608,GlobCluster,nan
M81,148.88822,69.06529,Seyfert2,6.94
M82,148.96846,69.6797,AGN,8.41
M83,204.25383,-29.86576,StarburstG,7.52
M84,186.2656,12.88698,Seyfert2,10.49
M85,186.35022,18.19108,GinPair,nan
M86,186.54922,12.94597,GtowardsGroup,8.9
M87,187.70593,12.39112,AGN,8.63
M88,187.99647,14.42032,Seyfert2,13.18
M89,188.91586,12.55634,Seyfert2,9.75
M90,189.2075,13.16292,Seyfert2,9.54
M91,188.86019,14.49632,LINER,13.57
M92,259.28079,43.13594,GlobCluster,6.52
M93,116.14083,-23.85306,OpenCluster,nan
M94,192.72114,41.12025,Seyfert,8.24
M95,160.99055,11.70369,GinPair,9.73
M96,161.6906,11.81994,GinPair,9.25
M97,168.6988,55.01902,PlanetaryNeb,15.78
M98,183.45121,14.90054,LINER,10.14
M99,184.70677,14.41649,HIIG,9.87
M100,185.72887,15.8223,AGN,9.35
M101,210.80243,54.34875,GinPair,7.86
M102,226.62317,55.76331,Seyfert,9.89
M103,23.33917,60.65889,OpenCluster,7.4
M104,189.99763,-11.62305,LINER,8.0
M105,161.95667,12.58163,LINER,9.76
M106,184.74008,47.30372,Seyfert2,8.41
M107,248.13275,-13.05378,GlobCluster,nan
M108,167.87903,55.67412,AGN,nan
M109,179.39985,53.37472,GtowardsGroup,nan
M110,10.0919,41.68542,GtowardsGroup,8.07
