ra,dec,z
242.43318,-0.11512,0.00502
227.05148,1.49994,0.00513
217.15767,0.55314,0.00514
217.39419,-0.01827,0.00518
188.11549,0.38552,0.00519
212.90774,-1.15908,0.00520
212.90660,-1.16204,0.00524
228.92850,1.45577,0.00529
190.01199,-1.05077,0.00530
221.54637,-0.22297,0.00554
226.67071,0.07674,0.00555
221.31598,-0.15949,0.00555
190.03691,-0.35035,0.00570
220.09704,-0.56233,0.00595
220.69870,-0.49838,0.00596
163.20268,0.03448,0.00603
220.69560,0.66173,0.00604
226.12564,-0.85132,0.00607
162.25636,-0.64041,0.00615
228.13224,0.81258,0.00615
147.17639,-0.35406,0.00628
220.45285,0.68699,0.00629
178.90387,1.23720,0.00629
175.81716,-1.39470,0.00631
185.27933,0.46134,0.00632
147.63041,0.40751,0.00633
147.46914,0.61811,0.00637
224.00508,-1.38107,0.00638
219.46892,-0.39863,0.00643
186.59411,-1.25501,0.00661
186.59463,-1.25342,0.00665
186.05372,0.56638,0.00676
229.73769,0.51569,0.00695
226.67516,0.63439,0.00754
187.44266,-1.29508,0.00754
160.73099,-0.14028,0.00788
214.83397,1.16526,0.00814
189.21680,-0.58942,0.00853
170.82970,-0.92261,0.00873
170.93679,-0.83644,0.00876
191.58742,-1.25009,0.00927
234.86989,0.94340,0.00994
130.48618,-0.06001,0.01017
133.13101,0.85358,0.01085
134.49949,-0.41003,0.01115
235.12208,0.91039,0.01172
140.15478,-0.68083,0.01185
189.12711,0.22119,0.01242
190.50287,0.75395,0.01248
235.07707,-0.81251,0.01252
190.07571,-0.18507,0.01256
148.64447,1.11406,0.01259
203.64812,-0.35324,0.01264
204.68937,-0.41692,0.01267
205.95126,1.37237,0.01280
167.35544,-0.09773,0.01282
208.83124,1.48929,0.01295
148.33551,0.62869,0.01312
176.35960,0.00406,0.01314
131.21480,1.15561,0.01338
166.25070,0.88517,0.01343
189.51236,0.17707,0.01349
202.33871,-0.94422,0.01362
131.27024,1.40132,0.01371
200.66117,-0.28191,0.01388
173.27532,1.49134,0.01425
131.10373,0.34283,0.01446
204.80526,-1.12097,0.01483
236.80374,-0.99602,0.01498
208.15357,0.02249,0.01502
208.11040,-1.27365,0.01522
208.18381,0.80270,0.01524
190.18170,0.79785,0.01577
190.08397,1.27332,0.01583
190.40032,-0.11838,0.01588
143.54340,0.24120,0.01613
144.16843,0.40746,0.01622
139.37082,-0.62057,0.01658
244.49182,-0.47057,0.01661
172.44860,1.13883,0.01665
190.66967,1.34580,0.01671
139.33882,-0.45419,0.01685
139.56851,0.38504,0.01710
140.13867,0.72104,0.01720
197.26515,-0.76600,0.01721
201.66860,-0.62215,0.01724
191.49062,1.29805,0.01729
139.75688,0.17258,0.01746
168.56178,-0.71663,0.01756
139.77630,0.67766,0.01757
196.96131,-0.86775,0.01769
213.20537,1.48921,0.01779
173.91164,1.35753,0.01785
197.20880,-0.81730,0.01794
181.66410,1.28424,0.01802
170.94194,-1.09983,0.01817
196.95928,-0.86843,0.01819
179.18254,-1.36192,0.01830
201.91883,0.68798,0.01834
196.95785,-0.86843,0.01834
197.20866,1.00226,0.01838
179.38268,-1.25286,0.01841
197.33227,0.88372,0.01847
163.33649,-0.60638,0.01850
197.98248,-0.83647,0.01851
141.59590,-0.71759,0.01860
136.40775,0.00329,0.01864
136.73103,-0.03131,0.01865
159.65878,-0.34498,0.01870
177.40144,-1.45549,0.01872
178.22274,-1.44927,0.01876
164.01094,0.66204,0.01880
170.94494,-1.04162,0.01888
142.95123,-0.40833,0.01890
159.00865,0.98904,0.01894
167.49393,0.18128,0.01895
164.88282,-0.04167,0.01899
160.87882,-0.58411,0.01905
136.33632,-0.03698,0.01905
177.15742,0.02466,0.01914
169.73164,0.08985,0.01924
178.87770,-1.26142,0.01928
177.71326,-0.40764,0.01928
168.70597,0.90563,0.01935
182.36942,0.53330,0.01938
147.37478,-0.85899,0.01947
165.81350,-0.17469,0.01954
172.86789,0.49461,0.01974
177.65142,-1.40959,0.01978
172.12866,0.78251,0.01993
147.30560,0.21758,0.02000
155.91920,-1.23472,0.02002
182.64713,1.02872,0.02017
148.04775,1.09547,0.02021
153.72225,-1.15287,0.02026
182.90434,0.32250,0.02030
182.76692,0.97228,0.02041
180.94629,-0.33659,0.02043
151.38289,0.61105,0.02049
245.13881,-1.09564,0.02052
179.25998,0.49833,0.02056
153.46911,0.55096,0.02065
180.07504,0.29498,0.02066
174.63863,-1.18451,0.02076
148.44366,0.49440,0.02076
148.33526,0.72067,0.02078
183.68935,0.74353,0.02079
180.92611,1.45733,0.02083
232.17069,1.37758,0.02084
183.79883,-0.40009,0.02088
180.20501,-1.25034,0.02098
151.48054,0.65221,0.02106
154.37420,0.20062,0.02113
184.46685,-0.90740,0.02114
151.10907,0.60177,0.02116
183.12847,0.89420,0.02116
152.14978,-0.67685,0.02121
146.71421,-1.04130,0.02122
183.29130,1.19233,0.02131
149.09028,-0.25137,0.02140
184.81743,0.64817,0.02142
202.26346,-0.04359,0.02143
164.54100,-0.77466,0.02143
156.33256,0.63542,0.02143
153.10524,1.24584,0.02146
146.23184,0.06823,0.02161
203.13643,0.06095,0.02166
202.20881,-0.90846,0.02166
154.60586,1.18248,0.02166
151.80956,0.05585,0.02166
204.37530,1.08279,0.02169
151.48371,0.61722,0.02170
146.32316,-0.02999,0.02171
204.24406,0.22567,0.02175
179.98440,-0.54820,0.02176
146.30086,0.03548,0.02176
151.07900,0.12039,0.02187
