star,a_arcsec,ecc,incl_deg,node_deg,periapsis_deg,t_peri_yr,period_yr,Kmag,spectral,simbad
S55,0.1078,0.7209,150.1,325.5,331.5,2009.34,12.8,17.5,,[EG97] S55
S2,0.1255,0.8839,134.18,226.94,65.51,2002.33,16.0,13.95,e,[EG97] S2
S38,0.1416,0.8201,171.1,101.06,17.99,2003.19,19.2,17.0,l,[EG97] S38
S21,0.219,0.764,58.8,259.64,166.4,2027.4,37.0,16.9,l,[EG97] S21
S18,0.2379,0.471,110.67,49.11,349.46,1993.86,41.9,16.7,e,[EG97] S18
S23,0.253,0.56,48.0,249.0,39.0,2024.7,45.8,17.8,e,[EG97] S23
S13,0.2641,0.425,24.7,74.5,245.2,2004.86,49.0,15.8,e,[EG97] S13
S9,0.2724,0.644,82.41,156.6,150.6,1976.71,51.3,15.1,e,[EG97] S9
S14,0.2863,0.9761,100.59,226.38,334.59,2000.12,55.3,15.7,e,[EG97] S14
S12,0.2987,0.8883,33.56,230.1,317.9,1995.59,58.9,15.5,e,[EG97] S12
S17,0.3559,0.397,96.83,191.62,326.0,1991.19,76.6,15.3,l,[EG97] S17
S4,0.357,0.3905,80.33,258.84,290.8,1957.4,77.0,14.4,e,[EG97] S4
S39,0.37,0.9236,89.36,159.03,23.3,2000.06,81.1,16.8,,[EG97] S39
S60,0.3877,0.7179,126.87,170.54,29.37,2023.89,87.1,16.3,e,[EG97] S60
S8,0.4047,0.8031,74.37,315.43,346.7,1983.64,92.9,14.5,e,[EG97] S8
S175,0.414,0.9867,88.53,326.83,68.52,2009.51,96.2,17.5,e,[EG97] S175
