iers_name,ra_deg,dec_deg,n_delays,err_mas,defining
2357+025,0.080343,2.804081,357,0.3925,0
2357-326,0.085000,-32.350343,348,0.2068,0
2357+028,0.112594,3.121013,495,0.2453,0
2358+406,0.221171,40.900503,387,0.2103,0
2358-161,0.272203,-15.851965,387,0.2019,0
2358+605,0.279583,60.856333,540,0.1647,0
2358+189,0.285923,19.242723,5970,0.0562,0
2358+024,0.289731,2.719334,325,0.3135,0
2358-080,0.325104,-7.774145,291,0.2193,0
2359-221,0.549923,-21.886074,296,0.1925,0
2359+747,0.629715,74.996426,213,0.2582,0
0000-006,0.738230,-0.413132,293,0.5285,0
0000+019,0.812345,2.249301,411,0.4133,0
0000-199,0.816456,-19.697334,298,0.2947,0
0000-197,0.827813,-19.456210,345,0.4119,0
0000+212,0.830625,21.495697,611,0.1453,0
0000-177,0.841478,-17.453299,364,0.3271,0
0000-160,0.863601,-15.784849,291,0.3880,0
0001+478,0.941840,48.117815,342,0.3970,0
0001-120,1.020479,-11.816218,496,0.1027,0
0001+459,1.067199,46.254992,465,0.1142,0
0002-478,1.148565,-47.605446,708,0.0970,1
0002+200,1.148993,20.328422,544,0.1216,0
0002+541,1.268181,54.473590,584,0.0943,0
0002-350,1.274688,-34.763793,269,0.3720,0
0002-018,1.279466,-1.545871,419,0.2931,0
0002-170,1.324724,-16.801300,382,0.2899,0
0002+051,1.334231,5.403001,555,0.1771,0
0002+691,1.376961,69.399737,154,1.6555,0
0003+380,1.488231,38.337541,2159,0.0620,0
0003+158,1.496824,16.163617,701,0.1346,0
0003-302,1.504681,-29.930582,267,0.3896,0
0003+340,1.530761,34.372335,683,0.1679,0
0003-066,1.557887,-6.393149,69972,0.0434,0
0003+123,1.596067,12.598083,557,0.1304,0
0004+240,1.703289,24.376776,573,0.1190,0
0004+413,1.722136,41.586516,172,1.0201,0
0005+021,1.932667,2.442292,220,1.1652,0
0005+568,1.951953,57.102900,503,0.1058,0
0005+101,1.981993,10.462305,322,0.3338,0
0005-239,2.001540,-23.655042,350,0.2018,0
0005+114,2.003493,11.733549,451,0.2288,0
0005-262,2.109385,-25.986539,340,0.2656,0
0005-137,2.116737,-13.491826,191,0.3388,0
0005+683,2.139470,68.622791,298,0.3000,0
0006-363,2.140255,-36.023621,272,0.9865,0
0006+061,2.266383,6.472567,469,0.1812,0
0006+397,2.267390,40.029640,407,0.1321,0
0006+06A,2.321063,6.431874,368,0.2165,0
0007+177,2.395252,18.061948,303,0.1964,0
0007-325,2.398157,-32.276925,287,0.3081,0
0006+771,2.429550,77.411668,264,0.3406,0
0007+757,2.450976,76.055046,356,0.2719,0
0007+016,2.494407,1.965319,457,0.3505,0
0007-048,2.501619,-4.563474,369,0.1442,0
0007+205,2.619763,20.797163,515,0.1943,0
0007+439,2.625194,44.211807,512,0.1316,0
0007+106,2.629191,10.974862,5627,0.0514,1
0007+171,2.641628,17.405211,1431,0.0847,0
0008-311,2.645457,-30.904250,270,0.4866,0
0008-307,2.648926,-30.463172,264,0.2068,0
0008-300,2.688239,-29.753661,291,0.3705,0
0008-421,2.718823,-41.886328,234,0.6823,0
0008-222,2.723542,-21.951172,436,0.1614,0
0008-264,2.755195,-26.209271,10649,0.0479,0
0008+006,2.876680,0.964410,648,0.1298,0
0008+704,2.882929,70.758785,656,0.0875,0
0009+081,2.896957,8.398774,1187,0.0701,0
0009-148,2.918566,-14.567954,1528,0.0939,1
0009+070,3.034797,7.330903,375,0.2783,0
0009+467,3.122095,47.076316,422,0.1503,0
0009+655,3.156962,65.853006,279,0.5106,0
0010+336,3.197426,33.894020,525,0.1365,0
0010-401,3.249624,-39.907238,1021,0.0949,0
0010+463,3.318704,46.602408,653,0.1279,0
0010-155,3.336258,-15.229940,348,0.2323,0
0010+405,3.379709,40.860318,7436,0.0474,1
0011-046,3.475546,-4.397860,438,0.1379,0
0011+189,3.484900,19.178310,465,0.1971,0
0011-052,3.585139,-4.991339,81,0.5803,0
0012+610,3.703300,61.295428,418,0.1435,0
0012-184,3.760383,-18.214134,609,0.1503,0
0012-008,3.764154,-0.583150,278,0.6054,0
0012+319,3.775614,32.270364,463,0.1418,0
0012+077,3.857724,8.034503,300,0.2536,0
0013-184,3.893019,-18.123774,555,0.2031,0
0013-240,4.023911,-23.731167,293,0.5121,0
0013-005,4.046202,-0.253457,5175,0.0533,1
0014+813,4.285312,81.585593,75936,0.0432,0
0015-054,4.399238,-5.211602,506,0.1002,0
0015+145,4.403766,14.850522,416,0.3277,0
